Stichdatum,PLZ,Geschlecht,Nachname,Anzahl,Rang,ORTBEZ18
2020-10-01,1083,w,Jock,7,5,Mézières VD
2020-10-01,1083,m,Gilliéron,11,1,Mézières VD
2020-10-01,1083,m,Favre,8,4,Mézières VD
2020-10-01,1083,m,Zweifel,8,4,Mézières VD
2020-10-01,1084,w,Mazreku,14,2,Carrouge VD
2020-10-01,1084,w,Emery,12,3,Carrouge VD
2020-10-01,1084,w,Favre,9,5,Carrouge VD
2020-10-01,1084,m,Jordan,14,1,Carrouge VD
2020-10-01,1084,m,Mazreku,13,2,Carrouge VD
2020-10-01,1084,m,Emery,8,4,Carrouge VD
2020-10-01,1084,m,Bach,8,4,Carrouge VD
2020-10-01,1085,w,Thonney,11,1,Vulliens
2020-10-01,1085,w,Meyer,6,4,Vulliens
2020-10-01,1085,m,Cherpillod,8,3,Vulliens
2020-10-01,1088,w,Gilliéron,6,3,Ropraz
2020-10-01,1088,w,Porchet,6,3,Ropraz
2020-10-01,1088,m,Porchet,10,2,Ropraz
2020-10-01,1090,w,Fabia,10,1,La Croix (Lutry)
2020-10-01,1090,w,Foerster,10,1,La Croix (Lutry)
2020-10-01,1090,w,Dundas Foerster,10,1,La Croix (Lutry)
2020-10-01,1090,w,Bron,6,5,La Croix (Lutry)
2020-10-01,1090,m,Gindroz,9,2,La Croix (Lutry)
2020-10-01,1090,m,Bridel,7,3,La Croix (Lutry)
2020-10-01,1090,m,Stephens,6,4,La Croix (Lutry)
2020-10-01,1090,m,Jayet,6,4,La Croix (Lutry)
2020-10-01,1091,w,Pittet,13,2,Grandvaux/Chenaux/Aran
2020-10-01,1091,w,Crouail,10,3,Grandvaux/Chenaux/Aran
2020-10-01,1091,w,Favre,7,5,Grandvaux/Chenaux/Aran
2020-10-01,1091,m,Porta,19,1,Grandvaux/Chenaux/Aran
2020-10-01,1092,w,Zamaros,20,1,Belmont-Lausanne
2020-10-01,1092,w,Schwab,18,2,Belmont-Lausanne
2020-10-01,1092,m,Schwab,21,1,Belmont-Lausanne
2020-10-01,1092,m,Favre,20,2,Belmont-Lausanne
2020-10-01,1093,w,Demaurex,9,3,La Conversion
2020-10-01,1093,m,Indermuhle,10,3,La Conversion
2020-10-01,1093,m,Bessero,10,3,La Conversion
2020-10-01,1094,m,Bühler,17,1,Paudex
2020-10-01,1094,m,Barman,7,4,Paudex
2020-10-01,1094,m,Lavanchy,7,4,Paudex
2020-10-01,1095,w,Marguerat,19,1,Lutry
2020-10-01,1095,w,Putallaz,11,5,Lutry
2020-10-01,1095,w,Dizerens,11,5,Lutry
2020-10-01,1096,w,Schäfer,10,2,Villette (Lavaux)/Cully
2020-10-01,1096,w,Brabeck,9,4,Villette (Lavaux)/Cully
2020-10-01,1096,w,Favre,9,4,Villette (Lavaux)/Cully
2020-10-01,1096,m,Sauger,10,1,Villette (Lavaux)/Cully
2020-10-01,1096,m,Meuli,10,1,Villette (Lavaux)/Cully
2020-10-01,1096,m,Blondel,9,4,Villette (Lavaux)/Cully
2020-10-01,1096,m,Noverraz,7,5,Villette (Lavaux)/Cully
2020-10-01,1097,w,Magnin,10,1,Riex
2020-10-01,1097,m,Doutriaux,6,1,Riex
2020-10-01,1098,w,Rouge,6,2,Epesses
2020-10-01,1098,w,n/a,5,3,Epesses
2020-10-01,1098,m,Duboux,8,2,Epesses
2020-10-01,1098,m,Hegg,6,3,Epesses
2020-10-01,1110,w,Gashi,32,2,Morges
2020-10-01,1110,w,Martin,30,3,Morges
2020-10-01,1110,m,Rochat,26,4,Morges
2020-10-01,1110,m,Paratore,20,5,Morges
2020-10-01,1112,w,Cruchon,32,1,Echichens
2020-10-01,1112,w,Martin,6,5,Echichens
2020-10-01,1112,m,Cruchon,10,1,Echichens
2020-10-01,1113,w,n/a,5,2,St-Saphorin-Morges
2020-10-01,1113,m,Stutzmann,7,1,St-Saphorin-Morges
2020-10-01,1113,m,De Mestral,6,2,St-Saphorin-Morges
2020-10-01,1114,w,n/a,4,3,Colombier VD
2020-10-01,1114,m,Rehn,10,1,Colombier VD
2020-10-01,1114,m,Haas,8,3,Colombier VD
2020-10-01,1114,m,Rufer,7,4,Colombier VD
2020-10-01,1114,m,Chevalley,6,5,Colombier VD
2020-10-01,1114,m,Loncle de Forville,6,5,Colombier VD
2020-10-01,1115,m,n/a,5,3,Vullierens
2020-10-01,1115,m,n/a,4,5,Vullierens
2020-10-01,1117,m,Devantay,15,1,Grancy
2020-10-01,1117,m,n/a,5,3,Grancy
2020-10-01,1121,w,n/a,4,2,Bremblens
2020-10-01,1122,w,n/a,5,5,Romanel-sur-Morges
2020-10-01,1123,w,Von Flüe,6,1,Aclens
2020-10-01,1123,m,Meizer,17,1,Aclens
2020-10-01,1123,m,Ueltschi,7,3,Aclens
2020-10-01,1123,m,Reymond,6,4,Aclens
2020-10-01,1124,w,n/a,5,5,Gollion
2020-10-01,1124,m,Péclard,10,1,Gollion
2020-10-01,1124,m,Monachon,6,3,Gollion
2020-10-01,1124,m,n/a,5,5,Gollion
2020-10-01,1125,w,Duruz,7,1,Monnaz
2020-10-01,1125,w,n/a,4,3,Monnaz
2020-10-01,1127,m,Fiechter,6,1,Clarmont
2020-10-01,1127,m,n/a,3,4,Clarmont
2020-10-01,1128,w,Bertschi,6,1,Reverolle
2020-10-01,1128,w,n/a,3,4,Reverolle
2020-10-01,1131,w,Voiblet,10,1,Tolochenaz
2020-10-01,1131,w,Pitt,6,2,Tolochenaz
2020-10-01,1131,w,n/a,5,4,Tolochenaz
2020-10-01,1131,m,Girard,7,4,Tolochenaz
2020-10-01,1132,w,Baratelli,10,2,Lully VD
2020-10-01,1132,w,Cretegny,6,3,Lully VD
2020-10-01,1132,w,Muller,6,3,Lully VD
2020-10-01,1134,w,Henriod,6,2,Chigny/Vufflens-Château
2020-10-01,1134,w,n/a,5,4,Chigny/Vufflens-Château
2020-10-01,1135,m,Cramer,6,1,Denens
2020-10-01,1135,m,n/a,5,3,Denens
2020-10-01,1136,w,n/a,5,1,Bussy-Chardonney
2020-10-01,1136,w,n/a,4,4,Bussy-Chardonney
2020-10-01,1141,w,n/a,4,2,Sévery
2020-10-01,1141,w,n/a,3,3,Sévery
2020-10-01,1142,w,Pittet,16,2,Pampigny
2020-10-01,1142,w,Tardy,14,3,Pampigny
2020-10-01,1142,w,Gaillard,10,4,Pampigny
2020-10-01,1142,m,Gaudin,11,4,Pampigny
2020-10-01,1143,w,Baud,17,1,Apples
2020-10-01,1143,w,Chollet,8,4,Apples
2020-10-01,1143,m,Fankhauser,7,3,Apples
2020-10-01,1143,m,Hofmann,7,3,Apples
2020-10-01,1143,m,Mösching,7,3,Apples
2020-10-01,1145,w,Jotterand,13,2,Bière
2020-10-01,1145,w,Dumuid,10,3,Bière
2020-10-01,1145,m,Pittet,14,2,Bière
2020-10-01,1145,m,Dumuid,10,4,Bière
2020-10-01,1145,m,Simone,10,4,Bière
2020-10-01,1145,m,Kojovic,10,4,Bière
2020-10-01,1145,m,Sampaio Oliveira,10,4,Bière
2020-10-01,1145,m,Rochat,10,4,Bière
2020-10-01,1146,w,Baudin,17,2,Mollens VD
2020-10-01,1146,m,Baudin,18,1,Mollens VD
2020-10-01,1147,w,Buffet,12,3,Montricher
2020-10-01,1147,m,Magnin,10,2,Montricher
2020-10-01,1148,w,Rochat,32,2,L'Isle/Cuarnens/Moiry VD/Chavannes-Veyron/Villars-Bozon/La Praz/Mont-la-Ville/Mauraz/La Coudre
2020-10-01,1148,w,Clément,19,3,L'Isle/Cuarnens/Moiry VD/Chavannes-Veyron/Villars-Bozon/La Praz/Mont-la-Ville/Mauraz/La Coudre
2020-10-01,1148,m,Clément,18,4,L'Isle/Cuarnens/Moiry VD/Chavannes-Veyron/Villars-Bozon/La Praz/Mont-la-Ville/Mauraz/La Coudre
2020-10-01,1149,w,n/a,5,3,Berolle
2020-10-01,1149,m,Antenen,10,2,Berolle
2020-10-01,1162,w,Sanchez,24,1,St-Prex
2020-10-01,1162,w,Marzoli,17,3,St-Prex
2020-10-01,1162,w,Stauffer,12,5,St-Prex
2020-10-01,1162,m,Paquier,23,1,St-Prex
2020-10-01,1163,w,Durrer,11,1,Etoy
2020-10-01,1163,w,Thibaut,10,2,Etoy
2020-10-01,1163,w,Bill,10,2,Etoy
2020-10-01,1163,w,Thury,9,5,Etoy
2020-10-01,1163,m,Favre,8,5,Etoy
2020-10-01,1164,w,Delerue,10,1,Buchillon
2020-10-01,1164,w,Girardet,7,2,Buchillon
2020-10-01,1164,w,Percuoco,6,3,Buchillon
2020-10-01,1164,m,Stauffer,6,2,Buchillon
2020-10-01,1165,w,Cauderay,7,1,Allaman
2020-10-01,1165,m,Vanolli,6,2,Allaman
2020-10-01,1165,m,n/a,5,4,Allaman
2020-10-01,1166,w,Gaillard,9,3,Perroy
2020-10-01,1166,w,Dreier,7,5,Perroy
2020-10-01,1166,w,Sinani,7,5,Perroy
2020-10-01,1166,m,Jenni,12,1,Perroy
2020-10-01,1166,m,Miftari,7,5,Perroy
2020-10-01,1167,w,Gonvers,12,1,Lussy-sur-Morges
2020-10-01,1167,w,n/a,5,3,Lussy-sur-Morges
2020-10-01,1167,w,n/a,4,4,Lussy-sur-Morges
2020-10-01,1168,w,Grand,11,1,Villars-sous-Yens
2020-10-01,1168,m,Simond,10,1,Villars-sous-Yens
2020-10-01,1168,m,Martin,6,2,Villars-sous-Yens
2020-10-01,1168,m,n/a,4,4,Villars-sous-Yens
2020-10-01,1169,w,Bourgeois,20,2,Yens
2020-10-01,1169,m,Retler,10,3,Yens
2020-10-01,1170,w,Meylan,15,1,Aubonne
2020-10-01,1170,w,Suter,11,5,Aubonne
2020-10-01,1170,m,Piguet,16,2,Aubonne
2020-10-01,1170,m,Muller,14,4,Aubonne
2020-10-01,1172,w,Bakker,10,2,Bougy-Villars
2020-10-01,1172,w,Tseng,6,3,Bougy-Villars
2020-10-01,1172,w,n/a,4,5,Bougy-Villars
2020-10-01,1173,w,Cornaz,10,2,Féchy
2020-10-01,1173,w,Suardet,8,4,Féchy
2020-10-01,1173,m,Meylan,20,1,Féchy
2020-10-01,1173,m,Gillen,10,3,Féchy
2020-10-01,1174,w,Meylan,6,1,Montherod/Pizy
2020-10-01,1174,w,n/a,4,2,Montherod/Pizy
2020-10-01,1174,m,n/a,5,2,Montherod/Pizy
2020-10-01,1174,m,n/a,4,3,Montherod/Pizy
2020-10-01,1175,w,Brocard,6,4,Lavigny
2020-10-01,1175,w,Humberset,6,4,Lavigny
2020-10-01,1176,w,Bandel,13,2,St-Livres
2020-10-01,1176,w,Frutig,7,4,St-Livres
2020-10-01,1176,w,Gibaud,7,4,St-Livres
2020-10-01,1176,m,Burner,6,4,St-Livres
2020-10-01,1180,w,Moinat,17,3,Rolle/Tartegnin
2020-10-01,1180,m,Moinat,24,3,Rolle/Tartegnin
2020-10-01,1180,m,Brossy,17,5,Rolle/Tartegnin
2020-10-01,1182,w,Michon,6,3,Gilly
2020-10-01,1182,w,n/a,5,5,Gilly
2020-10-01,1182,m,Rolaz,33,1,Gilly
2020-10-01,1183,w,Burkhalter,10,3,Bursins
2020-10-01,1183,m,Parmelin,19,2,Bursins
2020-10-01,1183,m,Guilgot,10,4,Bursins
2020-10-01,1183,m,Nguyen,10,4,Bursins
2020-10-01,1184,w,n/a,5,4,Luins/Vinzel
2020-10-01,1184,m,Sordet,8,2,Luins/Vinzel
2020-10-01,1184,m,Rodrigues,7,3,Luins/Vinzel
2020-10-01,1185,w,Monnard,14,1,Mont-sur-Rolle
2020-10-01,1185,m,Gallay,15,2,Mont-sur-Rolle
2020-10-01,1187,w,Grosjean,16,1,St-Oyens
2020-10-01,1187,w,n/a,5,3,St-Oyens
2020-10-01,1187,m,Grosjean,12,1,St-Oyens
2020-10-01,1188,w,Pasche,16,4,St-George/Gimel
2020-10-01,1188,m,Tosoni,26,1,St-George/Gimel
2020-10-01,1188,m,Renaud,25,2,St-George/Gimel
2020-10-01,1188,m,Reymond,20,3,St-George/Gimel
2020-10-01,1188,m,Pasche,14,4,St-George/Gimel
2020-10-01,1189,w,n/a,5,1,Saubraz
2020-10-01,1189,m,Vanvooren,8,1,Saubraz
2020-10-01,1189,m,Gashi,6,2,Saubraz
2020-10-01,1189,m,n/a,4,3,Saubraz
2020-10-01,1195,w,Berger,8,1,Bursinel/Dully
2020-10-01,1195,m,Monnerat,12,1,Bursinel/Dully
2020-10-01,1195,m,Di Caprio,6,4,Bursinel/Dully
2020-10-01,1195,m,Berger,6,4,Bursinel/Dully
2020-10-01,1195,m,Meier,6,4,Bursinel/Dully
2020-10-01,1196,w,Martin,22,1,Gland
2020-10-01,1196,m,Da Silva,21,4,Gland
2020-10-01,1197,w,Bader,8,2,Prangins
2020-10-01,1197,m,Muller,11,1,Prangins
2020-10-01,1201,w,Martin,25,3,Genève
2020-10-01,1201,w,Ferreira,25,3,Genève
2020-10-01,1201,m,Martin,26,3,Genève
2020-10-01,1201,m,Dos Santos,26,3,Genève
2020-10-01,1202,w,Martin,28,5,Genève
2020-10-01,1202,m,Garcia,42,1,Genève
2020-10-01,1203,m,Garcia,47,1,Genève
2020-10-01,1203,m,Dos Santos,46,2,Genève
2020-10-01,1203,m,Pereira,37,5,Genève
2020-10-01,1203,m,Da Silva,37,5,Genève
2020-10-01,1204,w,Davidenko,15,1,Genève
2020-10-01,1204,w,Currat,12,2,Genève
2020-10-01,1204,w,Schnitzer,12,2,Genève
2020-10-01,1204,w,Faibichenko,10,4,Genève
2020-10-01,1204,w,Bergenstjerna,10,4,Genève
2020-10-01,1204,w,Odermatt,10,4,Genève
2020-10-01,1204,w,Antille,10,4,Genève
2020-10-01,1205,w,Rodriguez,41,2,Genève
2020-10-01,1205,w,Ferreira,39,4,Genève
2020-10-01,1206,w,Cohen,22,2,Genève
2020-10-01,1206,w,Gonzalez,21,4,Genève
2020-10-01,1206,m,Cohen,34,1,Genève
2020-10-01,1206,m,Poggia,26,2,Genève
2020-10-01,1207,w,Martin,25,2,Genève
2020-10-01,1207,m,Muller,27,4,Genève
2020-10-01,1208,w,Fankhauser,13,5,Genève
2020-10-01,1208,m,Favre,20,1,Genève
2020-10-01,1208,m,Rey,17,4,Genève
2020-10-01,1209,w,Marguet,10,5,Genève
2020-10-01,1209,m,Mosching,16,2,Genève
2020-10-01,1209,m,Baer,16,2,Genève
2020-10-01,1209,m,Meylan,14,4,Genève
2020-10-01,1212,w,Da Costa,18,3,Grand-Lancy
2020-10-01,1212,w,Lamas,17,5,Grand-Lancy
2020-10-01,1212,m,Ferreira,37,1,Grand-Lancy
2020-10-01,1212,m,Da Silva,33,2,Grand-Lancy
2020-10-01,1213,w,Rodrigues,50,2,Onex/Petit-Lancy
2020-10-01,1213,w,Martin,44,3,Onex/Petit-Lancy
2020-10-01,1213,m,Garcia,67,3,Onex/Petit-Lancy
2020-10-01,1214,w,Chiaro,20,1,Vernier
2020-10-01,1214,w,De Oliveira,13,2,Vernier
2020-10-01,1215,w,Smatko,10,1,Genève
2020-10-01,1215,m,Rebeiz,10,1,Genève
2020-10-01,1215,m,Dawson,10,1,Genève
2020-10-01,1216,m,Stauffer,11,2,Cointrin
2020-10-01,1216,m,Mooser,10,3,Cointrin
2020-10-01,1217,m,Pereira,38,1,Meyrin
2020-10-01,1217,m,Gonzalez,36,3,Meyrin
2020-10-01,1217,m,Martinez,36,3,Meyrin
2020-10-01,1218,w,Favre,21,1,Le Grand-Saconnex
2020-10-01,1218,w,Noirjean,15,3,Le Grand-Saconnex
2020-10-01,1218,w,Martin,12,5,Le Grand-Saconnex
2020-10-01,1218,m,Martin,16,2,Le Grand-Saconnex
2020-10-01,1218,m,Gonzalez,16,2,Le Grand-Saconnex
2020-10-01,1219,w,Garcia,27,2,Aïre/Le Lignon/Châtelaine
2020-10-01,1219,m,Da Silva,35,1,Aïre/Le Lignon/Châtelaine
2020-10-01,1219,m,Gonzalez,34,2,Aïre/Le Lignon/Châtelaine
2020-10-01,1219,m,Rodriguez,32,4,Aïre/Le Lignon/Châtelaine
2020-10-01,1220,w,Demiri,17,1,Les Avanchets
2020-10-01,1220,w,Pereira,13,3,Les Avanchets
2020-10-01,1220,w,Fernandes,11,5,Les Avanchets
2020-10-01,1220,m,Dos Santos,14,5,Les Avanchets
2020-10-01,1222,w,Meyer,15,2,Vésenaz
2020-10-01,1222,w,Thorens,15,2,Vésenaz
2020-10-01,1222,m,Cerutti,21,3,Vésenaz
2020-10-01,1223,m,Francisco,34,1,Cologny
2020-10-01,1223,m,Stauffer,20,3,Cologny
2020-10-01,1224,w,Perez,20,2,Chêne-Bougeries
2020-10-01,1224,w,Muller,17,3,Chêne-Bougeries
2020-10-01,1224,w,Ischi,15,5,Chêne-Bougeries
2020-10-01,1224,m,Weber,14,3,Chêne-Bougeries
2020-10-01,1224,m,Pinto,14,3,Chêne-Bougeries
2020-10-01,1225,w,Da Silva,14,4,Chêne-Bourg
2020-10-01,1225,w,Rodriguez,12,5,Chêne-Bourg
2020-10-01,1225,w,Ferreira,12,5,Chêne-Bourg
2020-10-01,1225,m,Ferreira,18,2,Chêne-Bourg
2020-10-01,1225,m,Da Silva,17,3,Chêne-Bourg
2020-10-01,1226,w,Lopez Bueno,17,3,Thônex
2020-10-01,1226,w,Ferreira,16,5,Thônex
2020-10-01,1226,m,Keller,19,3,Thônex
2020-10-01,1226,m,Dos Santos,17,5,Thônex
2020-10-01,1226,m,Rodriguez,17,5,Thônex
2020-10-01,1227,w,Pereira,47,2,Carouge GE/Les Acacias
2020-10-01,1227,w,Rodriguez,37,3,Carouge GE/Les Acacias
2020-10-01,1227,m,Pereira,54,2,Carouge GE/Les Acacias
2020-10-01,1227,m,Rodriguez,37,4,Carouge GE/Les Acacias
2020-10-01,1228,w,Favre,16,1,Plan-les-Ouates
2020-10-01,1228,w,Schütz,15,3,Plan-les-Ouates
2020-10-01,1228,m,Favre,25,1,Plan-les-Ouates
2020-10-01,1228,m,Orlandini,17,2,Plan-les-Ouates
2020-10-01,1228,m,Magnin,16,3,Plan-les-Ouates
2020-10-01,1231,w,Pinto,12,2,Conches
2020-10-01,1231,w,Rinaldi,12,2,Conches
2020-10-01,1231,w,Kattan,12,2,Conches
2020-10-01,1231,m,Rinaldi,13,5,Conches
2020-10-01,1232,w,Ritter,10,1,Confignon
2020-10-01,1232,w,Pittet,8,4,Confignon
2020-10-01,1232,w,Da silva,8,4,Confignon
2020-10-01,1232,m,Dupont,10,2,Confignon
2020-10-01,1232,m,Grandjean,9,4,Confignon
2020-10-01,1232,m,Marti,9,4,Confignon
2020-10-01,1232,m,Genoud,9,4,Confignon
2020-10-01,1233,w,Favre,18,1,Bernex
2020-10-01,1233,w,Graf,13,4,Bernex
2020-10-01,1233,m,Jaquenoud,16,1,Bernex
2020-10-01,1233,m,Favre,15,2,Bernex
2020-10-01,1233,m,Martin,14,5,Bernex
2020-10-01,1234,w,Martin,15,2,Vessy
2020-10-01,1234,m,Huguenin,24,1,Vessy
2020-10-01,1234,m,Martin,15,3,Vessy
2020-10-01,1234,m,Bloedhorn,15,3,Vessy
2020-10-01,1236,w,Eriksson,11,1,Cartigny
2020-10-01,1236,w,Morel,10,3,Cartigny
2020-10-01,1236,w,Jordan,10,3,Cartigny
2020-10-01,1236,w,Kubler,10,3,Cartigny
2020-10-01,1236,m,Cogne,10,1,Cartigny
2020-10-01,1236,m,Pittet,9,3,Cartigny
2020-10-01,1236,m,Pahud,8,4,Cartigny
2020-10-01,1237,w,Spennato,37,1,Avully
2020-10-01,1237,w,Rossi,20,3,Avully
2020-10-01,1237,w,Dorsaz,20,3,Avully
2020-10-01,1239,m,Bardonneau,10,3,Collex
2020-10-01,1239,m,Lappert,9,5,Collex
2020-10-01,1241,w,Gonin,10,1,Puplinge
2020-10-01,1241,w,Rais,7,2,Puplinge
2020-10-01,1241,m,Marti,10,3,Puplinge
2020-10-01,1242,w,Muller,10,2,Satigny
2020-10-01,1242,m,Rajic,30,1,Satigny
2020-10-01,1242,m,Rodriguez,12,3,Satigny
2020-10-01,1242,m,Schwab,12,3,Satigny
2020-10-01,1243,w,Primat,10,1,Presinge
2020-10-01,1243,w,Läser,6,3,Presinge
2020-10-01,1243,m,Fischer,6,2,Presinge
2020-10-01,1243,m,Desbiolles,6,2,Presinge
2020-10-01,1243,m,Durandière,6,2,Presinge
2020-10-01,1243,m,Kübel,6,2,Presinge
2020-10-01,1244,m,Aznar,20,1,Choulex
2020-10-01,1244,m,Galetto,9,3,Choulex
2020-10-01,1244,m,Cugno,7,5,Choulex
2020-10-01,1245,w,Favre,13,4,Collonge-Bellerive
2020-10-01,1245,m,Silva,17,1,Collonge-Bellerive
2020-10-01,1245,m,Probst,17,1,Collonge-Bellerive
2020-10-01,1245,m,Mekki,15,4,Collonge-Bellerive
2020-10-01,1246,w,Shepherd,10,3,Corsier GE
2020-10-01,1246,w,Buffet,7,4,Corsier GE
2020-10-01,1246,m,Kauffmann,10,2,Corsier GE
2020-10-01,1246,m,Marullaz,7,5,Corsier GE
2020-10-01,1247,w,Ducret,18,2,Anières
2020-10-01,1247,w,Bosson,17,3,Anières
2020-10-01,1247,m,Bozzetti,20,2,Anières
2020-10-01,1247,m,Mooser,15,5,Anières
2020-10-01,1248,w,Piuz,12,1,Hermance
2020-10-01,1248,w,Vidonne,8,3,Hermance
2020-10-01,1248,w,Meylan,6,5,Hermance
2020-10-01,1248,m,Volta,20,1,Hermance
2020-10-01,1248,m,Laperrousaz,11,3,Hermance
2020-10-01,1248,m,Pesce,8,5,Hermance
2020-10-01,1251,m,Fonjallaz,7,2,Gy
2020-10-01,1251,m,Meylan,6,4,Gy
2020-10-01,1252,w,Bourgeois,8,5,Meinier
2020-10-01,1253,w,Re Paola,26,1,Vandoeuvres
2020-10-01,1253,m,Erbeia,13,2,Vandoeuvres
2020-10-01,1253,m,Da Fortuna,10,4,Vandoeuvres
2020-10-01,1253,m,Christen,10,4,Vandoeuvres
2020-10-01,1254,w,Eyben,10,2,Jussy
2020-10-01,1254,w,Mugnier,10,2,Jussy
2020-10-01,1254,m,Chenevard,15,2,Jussy
2020-10-01,1255,m,Chavaz,13,4,Veyrier
2020-10-01,1256,w,Kukorelly,17,1,Troinex
2020-10-01,1256,w,Mariethoz,15,2,Troinex
2020-10-01,1256,w,Lavergnat,13,3,Troinex
2020-10-01,1256,w,Schaefer,10,5,Troinex
